# date, mag, err_mag
-0.000 22.148274 0.209427
1.000 22.497881 0.210784
2.000 22.637951 0.211387
3.000 22.513992 0.210480
4.000 22.079623 0.209971
5.000 22.014476 0.208866
6.000 21.295533 0.207648
7.000 21.855948 0.206460
8.000 21.489599 0.206300
9.000 21.892684 0.206935
10.000 21.964147 0.208261
11.000 22.064462 0.209171
12.000 22.381304 0.209413
13.000 22.550691 0.208933
14.000 21.891725 0.208077
15.000 21.507170 0.207646
16.000 21.878323 0.207545
17.000 22.107235 0.207932
18.000 22.340837 0.209366
19.000 22.545807 0.210014
20.000 22.609995 0.210480
21.000 22.266989 0.210796
22.000 22.519817 0.211021
23.000 22.466039 0.210422
24.000 22.592319 0.210192
25.000 21.958040 0.210254
26.000 22.570234 0.210146
27.000 22.322869 0.209936
28.000 22.413712 0.209278
29.000 21.722029 0.208504
30.000 21.582328 0.208244
31.000 21.702311 0.208259
32.000 21.864671 0.208727
33.000 22.097984 0.208921
34.000 22.488652 0.208763
35.000 22.340783 0.208418
36.000 22.133098 0.208698
37.000 22.263244 0.209839
38.000 22.243523 0.210392
39.000 22.279274 0.210596
40.000 22.569659 0.210630
41.000 22.267413 0.210228
42.000 22.202071 0.209431
43.000 21.859368 0.208761
44.000 21.980805 0.208186
45.000 22.029193 0.208078
46.000 21.910942 0.207831
47.000 21.906479 0.207614
48.000 21.754930 0.207879
49.000 21.668461 0.207464
50.000 21.885519 0.207442
51.000 21.576155 0.207679
52.000 21.957442 0.208026
53.000 21.915491 0.208321
54.000 21.701748 0.208623
55.000 21.816904 0.208317
56.000 21.730341 0.207601
57.000 21.340157 0.206714
58.000 21.381751 0.206067
59.000 21.375633 0.205843
60.000 21.474975 0.205056
61.000 21.154154 0.205292
62.000 21.409548 0.205826
63.000 21.291046 0.206197
64.000 21.393525 0.205803
65.000 21.234326 0.204716
66.000 21.242414 0.204456
67.000 21.496202 0.204912
68.000 21.153547 0.205025
69.000 21.269450 0.205044
70.000 21.106316 0.205071
71.000 21.164370 0.205296
72.000 21.494803 0.206043
73.000 21.963165 0.206930
74.000 21.679010 0.207244
75.000 21.661829 0.207334
76.000 21.898234 0.207164
77.000 21.849095 0.206919
78.000 21.446928 0.206592
79.000 21.417018 0.206288
80.000 21.160118 0.205988
81.000 21.283963 0.205616
82.000 21.169487 0.205446
83.000 21.407156 0.205719
84.000 20.913065 0.205309
85.000 21.014448 0.204739
86.000 21.147706 0.204527
87.000 21.242612 0.204575
88.000 21.443641 0.205430
89.000 21.487000 0.206167
90.000 21.302215 0.206293
91.000 21.532667 0.206673
92.000 21.842376 0.207343
93.000 21.833899 0.208208
94.000 21.855322 0.208469
95.000 22.237590 0.208829
96.000 22.313297 0.209174
97.000 22.241721 0.209624
98.000 22.256139 0.209666
99.000 22.063030 0.208818
100.000 21.892251 0.207788
101.000 21.603541 0.207488
102.000 21.935409 0.208288
103.000 22.125237 0.209253
104.000 22.378186 0.210440
105.000 22.683334 0.211754
106.000 22.739877 0.212507
107.000 22.803121 0.213043
108.000 23.017990 0.213506
109.000 22.818972 0.213680
110.000 23.242176 0.214146
111.000 23.274398 0.215020
112.000 23.690021 0.215931
113.000 24.010122 0.216706
114.000 24.071262 0.217177
115.000 24.204106 0.217027
116.000 23.723858 0.217267
117.000 23.823560 0.217172
118.000 24.123382 0.216808
119.000 24.055841 0.217272
120.000 24.131721 0.217636
121.000 23.388080 0.217674
122.000 23.811846 0.217751
123.000 24.223995 0.218354
124.000 24.260420 0.218607
125.000 24.543557 0.218308
126.000 24.126392 0.217896
127.000 23.933341 0.217883
128.000 24.112754 0.218141
129.000 23.769701 0.218556
130.000 24.443874 0.219067
131.000 24.613875 0.219878
132.000 24.586813 0.220521
133.000 24.221102 0.220922
134.000 24.280191 0.220686
135.000 24.530071 0.220803
136.000 24.773442 0.220966
137.000 25.009757 0.221079
138.000 24.838188 0.221378
139.000 25.076590 0.221691
140.000 24.819860 0.221964
141.000 25.099578 0.222264
142.000 24.943695 0.222053
143.000 25.247670 0.221957
144.000 24.770433 0.222568
145.000 25.390058 0.223324
146.000 25.068964 0.223068
147.000 25.246752 0.222316
148.000 25.086468 0.222502
149.000 25.447176 0.223421
150.000 25.392616 0.224222
151.000 25.629135 0.225129
152.000 25.669102 0.225922
153.000 26.399150 0.226804
154.000 26.632781 0.227578
155.000 25.817020 0.227173
156.000 26.125713 0.226517
157.000 25.718285 0.226201
158.000 25.905849 0.225359
159.000 25.563822 0.224761
160.000 25.396492 0.224924
161.000 25.778193 0.225293
162.000 26.003982 0.225764
163.000 26.169409 0.226680
164.000 26.236857 0.227488
165.000 26.365739 0.228280
166.000 26.543482 0.228886
167.000 26.197776 0.229359
168.000 26.078937 0.229429
169.000 26.674415 0.229711
170.000 26.797282 0.229629
171.000 26.880838 0.229161
172.000 26.793165 0.228702
173.000 26.166761 0.228018
174.000 26.216483 0.226712
175.000 25.445162 0.225648
176.000 25.692641 0.225429
177.000 25.480460 0.225164
178.000 25.400079 0.224888
179.000 25.042681 0.224072
180.000 25.193509 0.222665
181.000 24.946076 0.221510
182.000 24.303561 0.220871
183.000 24.077648 0.220507
184.000 24.517835 0.220418
185.000 24.860092 0.220300
186.000 24.511060 0.220437
187.000 24.605804 0.220181
188.000 24.345220 0.220182
189.000 24.455287 0.220630
190.000 24.604855 0.220783
191.000 24.728306 0.220745
192.000 24.513874 0.220945
193.000 24.837510 0.221238
194.000 24.527135 0.221680
195.000 24.844449 0.221884
196.000 24.456155 0.221822
197.000 24.843605 0.222461
198.000 24.631748 0.222570
199.000 24.935792 0.222447
200.000 25.290085 0.222433
201.000 24.988723 0.222014
202.000 25.584875 0.221931
203.000 24.870737 0.222017
204.000 24.793290 0.221965
205.000 25.050409 0.222234
206.000 25.381930 0.222389
207.000 24.593651 0.221841
208.000 24.860900 0.221376
209.000 24.689800 0.221028
210.000 24.411188 0.220595
211.000 24.262857 0.220400
212.000 24.231464 0.220688
213.000 25.016370 0.220841
214.000 25.044814 0.221432
215.000 25.083527 0.221372
216.000 24.547695 0.220713
217.000 24.593665 0.220003
218.000 24.395880 0.219847
219.000 24.412806 0.219405
220.000 24.120309 0.218707
221.000 24.124747 0.218008
222.000 24.056716 0.217123
223.000 23.664440 0.215886
224.000 23.393276 0.214605
225.000 23.181690 0.213317
226.000 23.121822 0.212448
227.000 22.758294 0.211184
228.000 22.147928 0.209616
229.000 21.690950 0.208686
230.000 21.944204 0.207690
231.000 21.935843 0.207310
232.000 21.756188 0.207192
233.000 21.555437 0.207559
234.000 21.869154 0.207287
235.000 21.538040 0.206009
236.000 21.335370 0.204769
237.000 21.287592 0.203666
238.000 21.120558 0.202960
239.000 21.106266 0.202307
360.000 18.381042 0.191982
361.000 18.820621 0.191876
362.000 18.589433 0.191369
363.000 18.336801 0.190784
364.000 18.255052 0.190142
365.000 18.397063 0.190115
366.000 18.255162 0.190797
367.000 18.612314 0.191083
368.000 18.623530 0.192126
369.000 18.963861 0.193846
370.000 19.108784 0.194684
371.000 18.962300 0.194368
372.000 19.094630 0.193762
373.000 18.546752 0.192931
374.000 18.973577 0.192497
375.000 18.260297 0.192501
376.000 18.789393 0.192228
377.000 18.748717 0.192049
378.000 18.731535 0.192044
379.000 18.805095 0.192181
380.000 19.093051 0.192158
381.000 18.668167 0.191870
382.000 19.013677 0.192682
383.000 18.883523 0.192707
384.000 18.931674 0.192297
385.000 18.513066 0.191864
386.000 18.788854 0.192312
387.000 18.919123 0.193763
388.000 19.242962 0.195227
389.000 19.672410 0.196984
390.000 19.936916 0.197492
391.000 19.811092 0.196688
392.000 19.395725 0.195943
393.000 19.857191 0.196019
394.000 19.607286 0.195927
395.000 19.370530 0.195637
396.000 19.177745 0.195084
397.000 19.010570 0.194399
398.000 19.187727 0.193577
399.000 18.847801 0.192645
400.000 18.591075 0.192320
401.000 18.948637 0.192477
402.000 18.646295 0.193074
403.000 19.133864 0.193576
404.000 19.294065 0.194610
405.000 19.484590 0.195604
406.000 19.585728 0.196621
407.000 19.502918 0.197504
408.000 19.936410 0.198205
409.000 20.025537 0.199287
410.000 20.141489 0.200385
411.000 20.412772 0.201018
412.000 20.221074 0.200894
413.000 20.200624 0.200202
414.000 19.818374 0.199420
415.000 19.940786 0.199135
416.000 20.053547 0.199030
417.000 19.871977 0.198487
418.000 19.960221 0.197954
419.000 19.322310 0.197347
420.000 19.552644 0.197411
421.000 19.583719 0.197586
422.000 19.846707 0.197805
423.000 19.802121 0.198946
424.000 20.206945 0.200346
425.000 20.424253 0.201612
426.000 21.322484 0.202748
427.000 20.563592 0.203067
428.000 21.189743 0.204067
429.000 21.116203 0.205206
430.000 21.091092 0.205419
431.000 21.249162 0.205590
432.000 21.656214 0.206275
433.000 21.378507 0.207217
