# date, mag, err_mag
-0.000 16.285364 0.180385
1.000 16.586882 0.180767
2.000 16.343187 0.180596
3.000 16.482860 0.180293
4.000 16.363553 0.180549
5.000 16.278476 0.181040
6.000 16.553720 0.182011
7.000 16.711194 0.183417
8.000 16.937412 0.184145
9.000 17.074460 0.184478
10.000 17.204732 0.184546
11.000 17.317198 0.184727
12.000 16.863930 0.184484
13.000 17.146277 0.184902
14.000 17.236024 0.185293
15.000 17.532600 0.185817
16.000 17.526378 0.186082
17.000 17.354162 0.185703
18.000 17.111751 0.185387
19.000 17.286137 0.185489
20.000 17.211069 0.186132
21.000 17.342037 0.187136
22.000 17.878400 0.188000
23.000 17.764063 0.188559
24.000 17.813349 0.189119
25.000 18.202404 0.189437
26.000 18.131514 0.189887
27.000 18.744789 0.190321
28.000 18.628115 0.190719
29.000 18.636226 0.191546
30.000 18.540771 0.192114
31.000 18.560966 0.192669
32.000 19.069186 0.192458
33.000 18.585764 0.192412
34.000 18.277608 0.192678
35.000 18.709192 0.192936
36.000 18.798916 0.193201
37.000 18.921529 0.193518
38.000 18.440922 0.193404
39.000 19.162486 0.193076
40.000 18.753323 0.192847
41.000 18.748738 0.192426
42.000 18.664802 0.191801
43.000 18.499292 0.191349
44.000 18.440070 0.190379
45.000 18.114782 0.189451
46.000 18.294374 0.189015
47.000 17.898529 0.189052
48.000 17.966407 0.189819
49.000 18.085606 0.190315
50.000 18.516597 0.191053
51.000 18.661003 0.191740
52.000 18.470854 0.192337
53.000 18.472347 0.192432
54.000 18.556226 0.192217
55.000 18.691127 0.192555
56.000 18.648868 0.192804
57.000 19.064810 0.193119
58.000 18.666155 0.193149
59.000 18.759736 0.193142
60.000 18.698950 0.193386
61.000 18.810630 0.193298
62.000 18.792938 0.192940
63.000 18.698702 0.192912
64.000 18.663647 0.192606
65.000 18.379110 0.192285
66.000 18.690199 0.191994
67.000 18.395317 0.191526
68.000 18.328276 0.191087
69.000 18.185073 0.190491
70.000 18.329402 0.190014
71.000 18.335498 0.189858
72.000 18.214607 0.189788
73.000 18.012198 0.189880
74.000 18.295615 0.190036
75.000 18.115973 0.190363
76.000 18.293406 0.190912
77.000 18.180384 0.191160
78.000 18.320183 0.191410
79.000 18.695636 0.191595
80.000 18.462838 0.191647
81.000 18.366354 0.191602
82.000 18.777887 0.191994
83.000 18.670710 0.192796
84.000 19.044955 0.194149
85.000 18.850357 0.195017
86.000 18.904530 0.195458
87.000 18.881157 0.195509
88.000 19.251001 0.195590
89.000 18.998068 0.196225
90.000 19.530935 0.196576
91.000 19.691265 0.196639
92.000 19.449608 0.196565
93.000 19.402408 0.196677
94.000 19.638285 0.197052
95.000 19.452902 0.197428
96.000 19.924267 0.197614
97.000 19.748956 0.197927
98.000 19.949083 0.198459
99.000 19.852215 0.198950
100.000 20.262358 0.199299
101.000 20.313149 0.199911
102.000 20.143271 0.200303
103.000 20.364208 0.200313
104.000 20.193233 0.200076
105.000 20.136670 0.200312
106.000 20.054958 0.200661
107.000 20.271164 0.200804
108.000 20.017165 0.200981
109.000 20.594102 0.200998
110.000 20.182346 0.201030
111.000 20.809489 0.201430
112.000 20.168602 0.201931
113.000 20.151703 0.202108
114.000 20.081450 0.201646
115.000 20.505920 0.200815
116.000 19.794591 0.199658
117.000 20.105632 0.198961
118.000 19.788196 0.198538
119.000 19.584614 0.198034
120.000 19.620716 0.197491
121.000 19.602193 0.196834
122.000 19.653807 0.196647
123.000 19.698699 0.196532
124.000 19.351196 0.196827
125.000 19.851039 0.197566
126.000 19.819003 0.198181
127.000 19.913340 0.198425
128.000 20.027013 0.198153
129.000 19.671172 0.197630
130.000 19.633590 0.196872
131.000 19.668781 0.196348
132.000 19.054881 0.196244
133.000 19.212846 0.196157
134.000 19.018305 0.195774
135.000 18.881815 0.195891
136.000 19.172909 0.195414
137.000 19.244279 0.194408
138.000 18.880850 0.193304
139.000 18.619091 0.192841
140.000 18.913845 0.192650
141.000 18.739810 0.191840
142.000 18.752861 0.191273
143.000 18.750200 0.191197
144.000 18.460637 0.191359
145.000 18.307504 0.191116
146.000 18.171653 0.190170
147.000 18.212082 0.189346
148.000 17.442397 0.188459
149.000 17.625555 0.187583
150.000 17.696998 0.186744
151.000 17.382715 0.186383
152.000 17.433177 0.186732
153.000 17.563185 0.187009
154.000 17.372788 0.186438
155.000 17.039270 0.185439
156.000 17.040608 0.184357
157.000 17.057717 0.183917
158.000 17.202321 0.183623
159.000 17.173834 0.183102
160.000 16.794416 0.182563
161.000 16.602964 0.182191
162.000 16.424724 0.182705
163.000 17.228043 0.183742
164.000 17.150099 0.184663
165.000 17.379724 0.185410
166.000 17.533773 0.186013
167.000 17.571920 0.186562
168.000 17.565144 0.186963
169.000 17.569958 0.186886
170.000 17.734405 0.186932
171.000 17.198041 0.186473
172.000 17.455522 0.186053
173.000 17.463814 0.186003
174.000 17.724512 0.185584
175.000 17.040399 0.184556
176.000 16.864477 0.183787
177.000 16.945503 0.183552
178.000 17.067390 0.183540
179.000 16.589967 0.182826
180.000 16.750279 0.181638
181.000 16.472545 0.180419
182.000 15.813179 0.179018
183.000 15.672706 0.178262
184.000 16.191708 0.178234
185.000 15.847959 0.177479
186.000 16.063133 0.177045
187.000 15.807267 0.177555
188.000 15.703922 0.178589
189.000 16.229779 0.180060
190.000 16.417618 0.181484
191.000 16.842703 0.182403
192.000 16.806364 0.183097
193.000 16.670477 0.183912
194.000 16.886995 0.184948
195.000 17.304329 0.185738
196.000 17.664641 0.185849
197.000 17.425908 0.186061
198.000 17.642743 0.186267
199.000 17.037797 0.186242
200.000 17.524319 0.186456
201.000 17.611471 0.187009
202.000 17.747316 0.187226
203.000 17.564032 0.187059
204.000 17.081587 0.186870
205.000 17.451241 0.186874
206.000 17.579396 0.187258
207.000 17.799843 0.187398
208.000 17.676922 0.187507
209.000 17.789740 0.187637
210.000 17.538536 0.187376
211.000 17.721536 0.187204
212.000 17.641468 0.187120
213.000 17.628004 0.186989
214.000 17.543671 0.187094
215.000 17.628169 0.187117
216.000 17.613854 0.186780
217.000 17.594621 0.186817
218.000 16.941281 0.186775
219.000 17.485393 0.186748
220.000 17.787554 0.187273
221.000 18.028799 0.188683
222.000 17.985748 0.189866
223.000 18.414457 0.190902
224.000 18.388289 0.191774
225.000 18.660005 0.192191
226.000 18.462406 0.192395
227.000 18.879758 0.193577
228.000 18.853043 0.194665
229.000 19.132464 0.195124
230.000 19.149306 0.195021
231.000 19.015192 0.194272
232.000 18.913772 0.193611
233.000 18.958717 0.192547
234.000 18.341471 0.191395
235.000 18.363866 0.190553
236.000 18.277513 0.190999
237.000 18.738969 0.192326
238.000 18.867169 0.193250
239.000 18.717414 0.193753
360.000 19.272479 0.195923
361.000 19.770378 0.197254
362.000 19.637580 0.198803
363.000 19.965917 0.200013
364.000 20.129689 0.200172
365.000 20.489277 0.199658
