# date, mag, err_mag
-0.000 19.939943 0.198337
1.000 20.049438 0.197648
2.000 20.066406 0.197324
3.000 20.196012 0.197370
4.000 20.112346 0.197443
5.000 20.360231 0.197439
6.000 20.070272 0.197593
7.000 19.981059 0.197453
8.000 19.888370 0.197218
9.000 19.738168 0.197263
10.000 19.999466 0.197638
11.000 20.744193 0.198263
12.000 20.652353 0.199164
13.000 20.612291 0.199572
14.000 20.498732 0.199648
15.000 20.510966 0.199671
16.000 20.719115 0.199667
17.000 20.422815 0.199559
18.000 20.473408 0.199754
19.000 20.706723 0.200081
20.000 20.487876 0.200142
21.000 20.885476 0.200291
22.000 20.518098 0.200711
23.000 20.978127 0.201256
24.000 20.860563 0.201688
25.000 21.036615 0.202065
26.000 20.989721 0.202102
27.000 20.959879 0.202109
28.000 21.093248 0.201736
29.000 20.587455 0.201190
30.000 20.519152 0.200620
31.000 19.879822 0.199857
32.000 19.855303 0.199173
33.000 20.224652 0.198616
34.000 20.025682 0.197898
35.000 19.934124 0.197078
36.000 19.871118 0.196419
37.000 19.649712 0.196197
38.000 19.731788 0.196359
39.000 20.112398 0.196640
40.000 19.933528 0.196901
41.000 19.717359 0.197059
42.000 19.921514 0.197278
43.000 19.855588 0.197326
44.000 19.980015 0.197370
45.000 19.758323 0.197324
46.000 19.901202 0.197476
47.000 19.838905 0.197345
48.000 19.863305 0.197238
49.000 20.055131 0.196807
50.000 19.685410 0.195908
51.000 19.869215 0.195500
52.000 19.652089 0.195599
53.000 19.313539 0.195885
54.000 19.737369 0.196339
55.000 19.798209 0.196590
56.000 19.654574 0.196507
57.000 19.518543 0.196195
58.000 19.933998 0.195642
59.000 19.426492 0.194857
60.000 19.377209 0.194381
61.000 19.530099 0.194138
62.000 19.464038 0.194015
63.000 19.401308 0.194150
64.000 19.447189 0.194389
65.000 19.567064 0.194423
66.000 19.314637 0.194641
67.000 19.456060 0.195003
68.000 19.515574 0.195177
69.000 19.371057 0.195361
70.000 19.371693 0.195640
71.000 19.874601 0.195978
72.000 19.568045 0.196312
73.000 19.569392 0.196145
74.000 19.730422 0.195766
75.000 19.341897 0.195165
76.000 19.445879 0.194527
77.000 19.286875 0.193968
78.000 18.954667 0.193367
79.000 19.077059 0.192740
80.000 18.942717 0.192411
81.000 19.115631 0.192418
82.000 19.043257 0.192809
83.000 19.301305 0.193618
84.000 19.549981 0.194630
85.000 19.353635 0.195529
86.000 19.491845 0.196114
87.000 19.701127 0.196263
88.000 19.798528 0.196434
89.000 20.154937 0.196487
90.000 19.638729 0.196490
91.000 19.968589 0.196372
92.000 19.923097 0.196477
93.000 19.754607 0.196914
94.000 20.092761 0.197887
95.000 20.370176 0.198990
