# date, mag, err_mag
-0.000 20.682610 0.205056
1.000 20.490850 0.204831
2.000 20.647419 0.204600
3.000 20.667937 0.204412
4.000 20.589052 0.204180
5.000 20.803442 0.204059
6.000 20.345434 0.204137
7.000 20.873723 0.204431
8.000 20.603324 0.204794
9.000 20.365762 0.204893
10.000 20.935349 0.204735
11.000 20.861316 0.204672
12.000 20.327391 0.204676
13.000 20.996447 0.204820
14.000 20.768555 0.205079
15.000 20.706687 0.205575
16.000 20.939557 0.206135
17.000 20.957338 0.206849
18.000 21.016216 0.207595
19.000 20.991101 0.208113
20.000 21.419305 0.208751
21.000 21.410658 0.209410
22.000 21.627419 0.210045
23.000 21.809953 0.210379
24.000 22.038076 0.210328
25.000 21.836810 0.210383
26.000 21.741198 0.210686
27.000 21.837006 0.211022
28.000 21.821549 0.211148
29.000 21.782909 0.210950
30.000 21.791311 0.210529
31.000 21.879548 0.210395
32.000 22.067540 0.210446
33.000 21.698343 0.210558
34.000 21.831911 0.210550
35.000 22.264974 0.210610
36.000 22.059352 0.210585
37.000 21.849187 0.210382
38.000 21.910702 0.210371
39.000 21.877921 0.210467
40.000 22.150324 0.210762
41.000 21.627630 0.211198
42.000 21.925782 0.211512
43.000 22.006676 0.211675
44.000 21.834047 0.211557
45.000 22.292157 0.211598
46.000 21.674779 0.211668
47.000 22.175954 0.211894
48.000 22.102485 0.212006
49.000 22.148084 0.211893
50.000 22.206202 0.211742
51.000 22.134153 0.211468
52.000 21.585035 0.211224
53.000 21.898882 0.211343
54.000 21.969532 0.211634
55.000 21.956920 0.211717
56.000 21.687898 0.211847
57.000 22.147757 0.212099
58.000 22.187767 0.212120
59.000 21.724840 0.212305
60.000 22.179400 0.212309
61.000 22.565012 0.212324
62.000 21.796270 0.212523
63.000 22.306312 0.212686
64.000 22.718510 0.212854
65.000 22.295041 0.213054
66.000 22.134762 0.213301
67.000 22.736203 0.213326
68.000 22.281089 0.213113
69.000 22.302112 0.212905
70.000 21.938654 0.212623
71.000 22.040548 0.212255
72.000 21.921586 0.211916
73.000 22.034541 0.211713
74.000 22.550030 0.211463
75.000 21.772001 0.211041
76.000 21.498486 0.210698
77.000 22.006196 0.210555
78.000 21.813647 0.210344
79.000 21.914774 0.210134
80.000 21.474783 0.209817
81.000 21.561123 0.209533
82.000 21.703409 0.209309
83.000 21.907090 0.209181
84.000 21.493467 0.209303
85.000 21.361675 0.209571
86.000 21.791658 0.209873
87.000 21.437947 0.210280
88.000 21.850902 0.210417
89.000 21.728856 0.210389
90.000 21.972177 0.210326
91.000 21.715120 0.210266
92.000 21.853473 0.210376
93.000 21.793344 0.210563
94.000 22.108057 0.210753
95.000 21.396262 0.211181
96.000 22.334524 0.211758
97.000 21.870838 0.212121
98.000 22.417649 0.212430
99.000 22.663518 0.212807
100.000 22.288365 0.212978
101.000 22.200569 0.212692
102.000 21.936376 0.212416
103.000 22.163760 0.212200
104.000 21.699187 0.211957
105.000 22.183449 0.211850
106.000 21.882205 0.211802
