# date, mag, err_mag
-0.000 21.415247 0.206627
1.000 21.188701 0.206578
2.000 20.997273 0.206450
3.000 21.205502 0.206484
4.000 21.040757 0.206725
5.000 21.609870 0.207052
6.000 22.014101 0.207334
7.000 21.746917 0.207524
8.000 21.536717 0.207804
9.000 21.667013 0.208133
10.000 21.966437 0.208432
11.000 21.646785 0.208654
12.000 21.826536 0.208781
13.000 21.370500 0.208901
14.000 21.616700 0.209027
15.000 21.745750 0.209097
16.000 22.016471 0.209186
17.000 21.716363 0.209155
18.000 21.944579 0.208861
19.000 21.758382 0.208405
20.000 22.006828 0.207925
21.000 21.315995 0.207535
22.000 21.024233 0.207067
23.000 20.826277 0.206523
24.000 21.176343 0.205928
25.000 21.306584 0.205263
26.000 20.979969 0.204638
27.000 20.967104 0.204103
28.000 20.707516 0.203538
29.000 20.662046 0.203028
30.000 20.190739 0.202450
31.000 20.769245 0.201869
32.000 20.361652 0.201300
33.000 19.847755 0.200539
34.000 19.536633 0.199625
35.000 19.809511 0.198495
36.000 19.473571 0.197442
37.000 19.239462 0.196426
38.000 19.444400 0.195756
39.000 19.009255 0.195535
40.000 18.946305 0.195494
41.000 19.220782 0.195324
42.000 19.107178 0.194862
43.000 18.632025 0.194316
44.000 18.945940 0.193853
45.000 19.082373 0.193390
46.000 18.547490 0.192919
47.000 18.384530 0.192344
48.000 18.272712 0.191880
49.000 18.513732 0.191558
50.000 18.452785 0.191205
51.000 17.975634 0.190705
52.000 18.330695 0.190320
53.000 18.306370 0.190056
54.000 18.096290 0.189932
55.000 17.640577 0.190014
56.000 18.234046 0.190158
57.000 17.812106 0.190358
58.000 18.320230 0.190661
59.000 18.449084 0.191060
60.000 18.535845 0.191567
61.000 17.922596 0.191944
62.000 18.381750 0.192450
63.000 18.779382 0.193042
64.000 18.739753 0.193661
65.000 18.600387 0.194388
66.000 18.956957 0.195136
67.000 19.141733 0.195649
68.000 18.827045 0.195748
69.000 19.451636 0.195523
70.000 19.206837 0.195167
71.000 19.015667 0.194849
72.000 18.788242 0.194566
