# date, mag, err_mag
-0.000 22.023192 0.205047
1.000 21.935249 0.204827
2.000 22.017221 0.204825
3.000 22.029937 0.204766
4.000 22.058638 0.204588
5.000 21.962482 0.204301
6.000 22.076868 0.203958
7.000 22.069063 0.203615
8.000 21.694331 0.203626
9.000 22.202436 0.203800
10.000 22.052722 0.204044
11.000 22.069380 0.204356
12.000 22.314749 0.204685
13.000 22.134193 0.204746
14.000 22.412516 0.204573
15.000 21.820966 0.204358
16.000 22.260418 0.204088
17.000 21.864367 0.203856
18.000 22.073255 0.203678
19.000 21.765251 0.203369
20.000 22.143890 0.203124
21.000 21.873406 0.203080
22.000 21.938442 0.203034
23.000 21.585883 0.203114
24.000 21.537809 0.203287
25.000 21.920038 0.203431
26.000 22.175129 0.203405
27.000 21.855208 0.203201
28.000 21.466405 0.202938
29.000 22.059453 0.202694
30.000 21.550465 0.202420
31.000 21.716439 0.201990
32.000 21.274500 0.201414
33.000 21.146867 0.200710
34.000 21.200736 0.200013
35.000 20.490889 0.199426
36.000 20.717640 0.198945
37.000 20.727697 0.198448
38.000 20.634755 0.197994
39.000 20.299856 0.197551
40.000 20.766008 0.197200
41.000 20.464379 0.197010
42.000 20.465320 0.196972
43.000 20.122366 0.196962
44.000 20.480573 0.196980
45.000 20.618893 0.196952
46.000 20.596390 0.196653
47.000 20.439110 0.196138
48.000 20.201907 0.195637
49.000 20.057088 0.195085
50.000 20.021166 0.194526
51.000 20.033445 0.194127
52.000 19.759465 0.193636
53.000 19.676919 0.193224
54.000 19.692665 0.192733
55.000 19.463079 0.192209
56.000 19.456252 0.191691
57.000 19.301694 0.191047
58.000 18.954635 0.190319
59.000 19.233762 0.189427
60.000 18.894952 0.188518
61.000 18.450068 0.187769
62.000 18.297851 0.187043
63.000 18.258729 0.186403
64.000 18.122445 0.185814
65.000 17.959030 0.185344
66.000 18.108837 0.184980
67.000 17.959903 0.184731
68.000 17.838629 0.184697
69.000 18.297685 0.184721
70.000 17.979309 0.184855
71.000 18.156959 0.185139
72.000 17.915068 0.185461
73.000 18.007435 0.185718
74.000 18.051018 0.185854
75.000 18.404550 0.185834
76.000 18.354874 0.185780
77.000 18.153350 0.185651
78.000 18.140195 0.185645
79.000 18.256744 0.185653
80.000 18.036665 0.185647
81.000 18.169434 0.185744
82.000 18.416271 0.185887
83.000 18.138341 0.186198
84.000 18.481000 0.186497
85.000 18.365430 0.186611
86.000 18.416362 0.186602
87.000 18.348904 0.186572
88.000 18.544322 0.186628
89.000 18.564399 0.186713
90.000 18.533511 0.186856
91.000 18.167433 0.187040
92.000 18.532474 0.187248
93.000 18.771478 0.187466
94.000 18.432177 0.187804
95.000 18.413095 0.188199
96.000 18.726209 0.188547
97.000 18.977574 0.188846
98.000 18.615625 0.188978
99.000 18.949124 0.189146
100.000 18.861655 0.189288
101.000 18.932368 0.189411
102.000 19.077184 0.189717
103.000 19.038639 0.190072
104.000 19.035907 0.190423
105.000 19.211861 0.190609
106.000 19.497579 0.190743
107.000 19.336560 0.190822
108.000 19.406278 0.191078
109.000 19.171570 0.191431
110.000 19.345358 0.191906
111.000 19.284952 0.192364
112.000 19.784072 0.192714
113.000 19.861404 0.193019
114.000 19.757797 0.193042
115.000 19.805867 0.192953
116.000 19.543342 0.192783
117.000 19.533885 0.192686
118.000 19.834108 0.192687
119.000 19.567218 0.192877
120.000 19.889337 0.193127
121.000 20.040555 0.193270
122.000 19.498977 0.193242
123.000 19.549211 0.193234
124.000 20.046172 0.193258
125.000 19.891320 0.193158
126.000 19.969890 0.193013
127.000 19.971910 0.192903
128.000 19.538906 0.192625
129.000 19.880513 0.192143
130.000 19.671984 0.191706
131.000 19.505030 0.191215
132.000 19.252652 0.190617
133.000 18.985243 0.189922
134.000 18.775400 0.189255
135.000 18.521053 0.188606
136.000 18.496854 0.187924
137.000 18.369773 0.187215
138.000 18.426746 0.186603
139.000 18.182815 0.186197
140.000 17.938946 0.185950
141.000 18.289545 0.185925
142.000 17.931965 0.186185
143.000 18.293999 0.186430
144.000 18.503959 0.186536
145.000 18.079989 0.186462
